Latitude,Longitude,Stop Name,Classification
33.64017909,-117.1683443,Heritage Marketplace,Commercial
33.63177833,-117.169029,Sonoma at Mapleton Apartments,Residential
33.63206724,-117.1609448,Mapleton & Iris,Residential
33.63211922,-117.154617,Whitewood & Mapleton,Residential
33.62944502,-117.151333,Poinsettia & Verbena,Residential
33.62859059,-117.1632626,Mapleton Park,Community
33.62706891,-117.1680174,Kaiser Permanente @ Keller,Services
33.62627605,-117.1626604,Springbrook Park,Community
33.62697361,-117.1579861,Keller & Whitewood,Residential
33.62321254,-117.1626746,Meadowlark & Brians,Residential
33.62701828,-117.1704208,Antelope & Keller,Residential
33.61344176,-117.1707308,Loma Linda University Medical Center,Services
33.6122517,-117.1626545,Alderwood Park,Community
33.60504332,-117.1629172,Whitewood & Lee/Linnel,Residential
33.60229729,-117.1628356,Meadowlark Pointe,Residential
33.60333761,-117.1757273,McElwain @ Super Target,Commercial
33.60061743,-117.177049,Orchard Center,Commercial
33.59796686,-117.1629067,Clinton Keith & Whitewood,Residential
33.59797797,-117.1691092,Clinton Keith @ Costco & Vista Murrieta High School,Commercial
33.59778591,-117.1540116,Clinton Keith & Menifee,Residential
33.58967023,-117.1585747,Los Alamos & Shannon N,Residential
33.58519129,-117.1627216,Los Alamos & Mason,Residential
33.57806369,-117.1724235,Rail Ranch Elementary School,Community
33.58296152,-117.1716604,Los Alamos Hills Sports Park,Community
33.5883462,-117.172097,Whitewood & Hunter,Residential
33.59658888,-117.1866839,Clinton Keith & Murrieta Oaks/Greer,Residential
33.59321439,-117.1853108,Murrieta Antelope Hills Park,Community
33.59069982,-117.1840243,Murrieta Oaks & Oak Meadows,Residential
33.5955621,-117.1797629,Antelope Hills Elementary School,Community
33.60503832,-117.1879787,Greer & Pabesu East,Residential
33.6027111,-117.1977392,Greer & Pabesu West,Residential
33.59551649,-117.1973732,Clinton Keith & California Oaks,Residential
33.59802696,-117.2024509,Blackmore Ranch Park,Community
33.5977537,-117.2116858,Clinton Keith & Spinning Wheel,Residential
33.59477105,-117.2044939,Nutmeg & St Raphael (Tovashal),Residential
33.59107591,-117.2100999,Nutmeg & Gingerbread,Residential
33.58902606,-117.2052871,Golden Pheasant and Malacca/Tanager,Residential
33.58654143,-117.2011351,Valley Vista Park,Community
33.58251782,-117.178104,Whitewood & Busman,Residential
33.57446781,-117.178077,Murrieta Gateway,Commercial
33.57383118,-117.1727816,Whitewood & Willowbend,Residential
33.56932581,-117.1753243,Rahcno Acacias Park @ Avienda Palizada,Community
33.57158747,-117.1688655,Whitewood & Blackthorne,Residential
33.56861065,-117.167106,Whitewood Park,Community
33.565446,-117.167739,Alta Murrieta Elementary School,Community
33.56256732,-117.1651212,Whitewood & Via Temprano/Highbury,Residential
33.55457,-117.1681727,Firefighters Park,Community
33.55638741,-117.1774787,Murrieta Hot Springs & Alta Murrieta (Sam's Club),Commercial
33.5613435,-117.177022,Alta Murrieta Sports Park,Community
33.56309514,-117.1733501,Alta Murrieta & Ridgeplume,Residential
33.55844772,-117.1712948,Rockcrest & Daphne,Residential
33.55135707,-117.1783836,Jackson & Magellan,Residential
33.5417697,-117.1718569,Murrieta Palms @ Ynez,Residential
33.55654124,-117.1570881,Murrieta Hot Springs & Margarita,Commercial
33.55510725,-117.1477637,Murrieta Hot Springs & Calle Del Lago,Residential
33.5526647,-117.1406552,Murrieta Hot Springs & Winchester (Hwy 79),Commercial
33.56081801,-117.1387053,Winchester & Robert Trent Jones/Technology,Residential
33.56887288,-117.1365917,Winchester & Hunter,Residential
